,developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
2280,6023243001,Гедион,"Краснодарский край, 350900, г. Краснодар, ул. Скобелева, д. 1, оф. 17",1,Итого,2019-03-25,2019-03-25,6700,214,2,0.004918264608391035,100.0,2204
2281,6023243001,Гедион,"Краснодарский край, 350900, г. Краснодар, ул. Скобелева, д. 1, оф. 17",1879,Краснодарский край,2019-03-25,2019-03-25,6700,214,2,0.0768535028851608,100.0,136
2282,5485131001,АкСтройКапитал,"Ханты-Мансийский автономный округ - Югра, 628011, г. Ханты-Мансийск, ул. Пионерская, д. 70, оф. 1004",1,Итого,2019-03-28,2019-03-28,6703,105,2,0.004920466816424643,100.0,2203
2283,5485131001,АкСтройКапитал,"Ханты-Мансийский автономный округ - Югра, 628011, г. Ханты-Мансийск, ул. Пионерская, д. 70, оф. 1004",1687,Тюменская область,2019-03-28,2019-03-28,6703,105,2,0.23074494851699123,100.0,78
2284,5485131001,АкСтройКапитал,"Ханты-Мансийский автономный округ - Югра, 628011, г. Ханты-Мансийск, ул. Пионерская, д. 70, оф. 1004",16871,Ханты-Мансийский автономный округ - Югра,2019-03-28,2019-03-28,6703,105,2,0.7829491591151728,100.0,22
2285,423049001,Группа компаний ИНСАЙТ,"Ставропольский край, р-н Минераловодский, 357207, г. Минеральные Воды, ул. Новоселов, д. 9, корп. А",1,Итого,2017-06-29,2019-04-01,6724,84,5,0.004935882272659898,100.0,2201
2286,423049001,Группа компаний ИНСАЙТ,"Ставропольский край, р-н Минераловодский, 357207, г. Минеральные Воды, ул. Новоселов, д. 9, корп. А",1438,Ставропольский край,2017-06-29,2019-04-01,6724,84,5,0.40307666669264325,100.0,37
2287,7735871001,Пирамида,"Республика Ингушетия, 386132, г. Назрань, ул. Албогачиева, д. 128",1,Итого,2019-03-12,2019-03-12,6717,88,1,0.0049307437872481465,100.0,2202
2288,7735871001,Пирамида,"Республика Ингушетия, 386132, г. Назрань, ул. Албогачиева, д. 128",1436,Республика Ингушетия,2019-03-12,2019-03-12,6717,88,1,3.7426242387434323,100.0,5
2289,4535077001,M9 Development,"г.Москва, г. Москва, б-р Гоголевский, д. 7",1,Итого,2019-02-27,2019-02-27,10966,74,11,0.008049804432181507,0.0,1691
2290,4535077001,M9 Development,"г.Москва, г. Москва, б-р Гоголевский, д. 7",1768,Московская область,2019-02-27,2019-02-27,10966,74,11,0.06680086130835146,0.0,188
2291,7506782001,Городская управляющая компания №2,"Республика Мордовия, 430005, г. Саранск, ул. Рабочая, д. 15, оф. 23",1,Итого,2018-03-26,2019-03-26,6747,119,1,0.004952765867584226,100.0,2198
2292,7506782001,Городская управляющая компания №2,"Республика Мордовия, 430005, г. Саранск, ул. Рабочая, д. 15, оф. 23",1215,Республика Мордовия,2018-03-26,2019-03-26,6747,119,1,3.433273287943089,100.0,14
2293,6769973001,Девелоперская компания Кедр,"Республика Башкортостан, р-н Стерлитамакский, 453140, дер. Байрак, тракт Федоровский, д. 3, стр. А",1,Итого,2018-01-16,2019-03-15,6753,58,13,0.004957170283651442,100.0,2197
2294,6769973001,Девелоперская компания Кедр,"Республика Башкортостан, р-н Стерлитамакский, 453140, дер. Байрак, тракт Федоровский, д. 3, стр. А",1213,Республика Башкортостан,2018-01-16,2019-03-15,6753,58,13,0.1530491871939101,100.0,67
2295,5518668001,Дирекция по строительно-восстановительным работам в Чеченской Республике,"Чеченская Республика, 364020, г. Грозный, ул. Кутузова, д. 6",1,Итого,2017-08-16,2019-03-12,6731,100,1,0.0049410207580716506,100.0,2199
2296,5518668001,Дирекция по строительно-восстановительным работам в Чеченской Республике,"Чеченская Республика, 364020, г. Грозный, ул. Кутузова, д. 6",1439,Чеченская Республика,2017-08-16,2019-03-12,6731,100,1,3.54900110197776,100.0,6
2297,10927998001,МЕДВЕДЕВСКАЯ ПМК,"Республика Марий Эл, р-н Медведевский, 425200, поселок городского типа Медведево, ул. Гагарина, д. 2, корп. А",1,Итого,2019-03-14,2019-03-14,6796,139,1,0.004988735265466488,100.0,2194
2298,10927998001,МЕДВЕДЕВСКАЯ ПМК,"Республика Марий Эл, р-н Медведевский, 425200, поселок городского типа Медведево, ул. Гагарина, д. 2, корп. А",1214,Республика Марий Эл,2019-03-14,2019-03-14,6796,139,1,1.6976164425992817,100.0,15
2299,6029995001,ЭРДА,"Калужская область, 248001, г. Калуга, ул. Гагарина, д. 6А/47",1,Итого,2019-03-15,2019-03-15,6727,124,1,0.004938084480693506,0.0,2200
2300,6029995001,ЭРДА,"Калужская область, 248001, г. Калуга, ул. Гагарина, д. 6А/47",1764,Калужская область,2019-03-15,2019-03-15,6727,124,1,0.5005510004695224,0.0,31
2301,10918639001,Максимка,"Краснодарский край, 354340, город Сочи, ул. Станиславского, д. 32, оф. 3",1,Итого,2019-03-12,2019-03-12,6759,143,1,0.004961574699718658,0.0,2196
2302,10918639001,Максимка,"Краснодарский край, 354340, город Сочи, ул. Станиславского, д. 32, оф. 3",1879,Краснодарский край,2019-03-12,2019-03-12,6759,143,1,0.07753027253743311,0.0,135
2303,6116674001,Инженерно-консалтинговое агентство Стройэкспертиза,"Хабаровский край, 680013, г. Хабаровск, ул. Ленина, д. 18, корп. В, оф. 601",1,Итого,2019-04-01,2019-04-01,6801,151,1,0.004992405612189168,0.0,2192
2304,6116674001,Инженерно-консалтинговое агентство Стройэкспертиза,"Хабаровский край, 680013, г. Хабаровск, ул. Ленина, д. 18, корп. В, оф. 601",1107,Хабаровский край,2019-04-01,2019-04-01,6801,151,1,1.3422911514572573,0.0,20
2305,5633566001,Управляющая строительная компания Стройкомплекс,"Астраханская область, г. Астрахань, ул. Боевая, д. 119",1,Итого,2018-07-06,2019-03-11,6784,126,1,0.004979926433332057,0.0,2195
2306,5633566001,Управляющая строительная компания Стройкомплекс,"Астраханская область, г. Астрахань, ул. Боевая, д. 119",1876,Астраханская область,2018-07-06,2019-03-11,6784,126,1,1.757977496644191,0.0,13
2307,5639820001,Крыминвестбуд,"Республика Крым, 298612, г. Ялта, пер. Киевский, д. 6А",1,Итого,2019-03-29,2019-03-29,6821,102,1,0.005007086999079888,0.0,2190
2308,5639820001,Крыминвестбуд,"Республика Крым, 298612, г. Ялта, пер. Киевский, д. 6А",1882,Республика Крым,2019-03-29,2019-03-29,6821,102,1,1.1006370495633597,0.0,19
2309,7597713001,310 Group,"Краснодарский край, 350911, г. Краснодар, ул. Кирова, д. 16А, оф. 3/1",1,Итого,2019-03-19,2019-03-19,6847,334,2,0.005026172802037823,100.0,2186
2310,7597713001,310 Group,"Краснодарский край, 350911, г. Краснодар, ул. Кирова, д. 16А, оф. 3/1",1879,Краснодарский край,2019-03-19,2019-03-19,6847,334,2,0.07853969167980536,100.0,134
2311,5880899001,Компания СтройИнвест,"Республика Марий Эл, г. Йошкар-Ола, ул. Вознесенская, д. 23",1,Итого,2017-06-21,2019-03-05,6804,110,1,0.004994607820222777,100.0,2191
2312,5880899001,Компания СтройИнвест,"Республика Марий Эл, г. Йошкар-Ола, ул. Вознесенская, д. 23",1214,Республика Марий Эл,2017-06-21,2019-03-05,6804,110,1,1.6996148139266498,100.0,14
2313,6073752001,Финансовая Компания Деловые инвестиции,"Иркутская область, 664025, г. Иркутск, ул. Декабрьских Событий, д. 47Б",1,Итого,2018-01-17,2019-03-22,6830,126,1,0.0050136936231807115,0.0,2188
2314,6073752001,Финансовая Компания Деловые инвестиции,"Иркутская область, 664025, г. Иркутск, ул. Декабрьских Событий, д. 47Б",1542,Иркутская область,2018-01-17,2019-03-22,6830,126,1,0.5688282138794084,0.0,40
2315,7675819001,КРЫМ-МОСКВА-СТРОЙ,"г.Севастополь, г. Севастополь, ул. Степаняна, д. 2А, корп. 1, оф. 12",1,Итого,2019-04-02,2019-04-02,6840,144,1,0.0050210343166260715,100.0,2187
2316,7675819001,КРЫМ-МОСКВА-СТРОЙ,"г.Севастополь, г. Севастополь, ул. Степаняна, д. 2А, корп. 1, оф. 12",1878,г. Севастополь,2019-04-02,2019-04-02,6840,144,1,2.0138970674832177,100.0,9
2317,5581246001,Читинский керамический завод МИР,"Забайкальский край, 672013, город Чита, пр-д Ивановский, д. 10",1,Итого,2018-11-06,2019-03-14,6801,126,2,0.004992405612189168,100.0,2193
2318,5581246001,Читинский керамический завод МИР,"Забайкальский край, 672013, город Чита, пр-д Ивановский, д. 10",1541,Забайкальский край,2018-11-06,2019-03-14,6801,126,2,4.352807147794476,100.0,5
2319,8469271001,Авангард-Консалтинг,"г.Москва, 129344, г. Москва, ул. Енисейская, д. 7, корп. 3, оф. 5",1,Итого,2019-02-25,2019-02-25,6830,165,1,0.0050136936231807115,0.0,2189
2320,8469271001,Авангард-Консалтинг,"г.Москва, 129344, г. Москва, ул. Енисейская, д. 7, корп. 3, оф. 5",1768,Московская область,2019-02-25,2019-02-25,6830,165,1,0.04160586200401609,0.0,224
2321,6007141001,Строй-Инвест,"Краснодарский край, г. Геленджик, ул. Луначарского, д. 1б, оф. 5",1,Итого,2018-04-20,2019-03-25,6872,132,3,0.005044524535651223,100.0,2184
