developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
3152888001,Группа компаний РАССВЕТ,"г.Москва, 450006, г. Москва, ул. Дубининская, д. 57, стр. 2, оф. 104",1213,Республика Башкортостан,2017-06-20,2019-03-14,117042.0,2525,18,2.6526259392195506,100.0,9
4964304001,Производственно-коммерческая фирма Гюнай,"Московская область, 142001, г. Домодедово, ул. 1-я Коммунистическая, д. 31, корп. Г",1,Итого,2016-10-19,2019-03-14,205159.0,4135,8,0.15060093265565616,100.0,101
4964304001,Производственно-коммерческая фирма Гюнай,"Московская область, 142001, г. Домодедово, ул. 1-я Коммунистическая, д. 31, корп. Г",1768,Московская область,2016-10-19,2019-03-14,205159.0,4135,8,1.2497535933941344,100.0,8
3187375001,Группа компаний Мегаполис,"Калининградская область, 236001, г. Калининград, ул. Аксакова, д. 137",1,Итого,2017-06-06,2019-04-02,203400.0,3582,18,0.1493097046786174,82.5196656833825,102
3187375001,Группа компаний Мегаполис,"Калининградская область, 236001, г. Калининград, ул. Аксакова, д. 137",1325,Калининградская область,2017-06-06,2019-04-02,203400.0,3582,18,11.656307414763965,82.5196656833825,1
451437001,Строительная группа Рисан,"Пензенская область, 440008, г. Пенза, ул. Пушкина, д. 15",1,Итого,2016-06-08,2019-04-02,200164.0,1873,14,0.14693425627969894,56.061529545772466,103
451437001,Строительная группа Рисан,"Пензенская область, 440008, г. Пенза, ул. Пушкина, д. 15",1211,Пензенская область,2016-06-08,2019-04-02,200164.0,1873,14,19.689185427382327,56.061529545772466,1
4276788001,Компания Базисные Инвестиции,"г.Москва, 127051, г. Москва, пер. Конный, д. 12",1,Итого,2019-02-13,2019-04-02,198814.0,4605,69,0.1459432626645754,49.410001307755,104
4276788001,Компания Базисные Инвестиции,"г.Москва, 127051, г. Москва, пер. Конный, д. 12",1762,г. Москва,2019-02-13,2019-04-02,198814.0,4605,69,1.0648736057793071,49.410001307755,24
2570896001,Девелоперская компания Лидер Инвест,"г.Москва, 115432, г. Москва, пр-кт Андропова, д. 18, корп. 7",1,Итого,2017-05-03,2019-03-28,198636.0,3020,16,0.14581259832124802,0.0,105
